order_id,date,category,region,segment,channel,manager,quantity,amount,ad_budget,discount_pct
7676,2024-01-01,Красота,Москва,Новый,Маркетплейс,Менеджер 5,2,3958.0,57.0,20
6686,2024-01-01,Красота,Казань,Постоянный,Сайт,Менеджер 8,3,3461.0,251.0,20
6872,2024-01-01,Электроника,Екатеринбург,Новый,Сайт,Менеджер 6,4,79640.0,3890.0,0
3081,2024-01-01,Спорт,Екатеринбург,Новый,Сайт,Менеджер 5,2,4280.0,0.0,0
5198,2024-01-01,Спорт,Новосибирск,Постоянный,Мобильное приложение,Менеджер 8,1,7729.0,521.0,20
6373,2024-01-01,Электроника,Москва,Постоянный,Мобильное приложение,Менеджер 1,2,68024.0,5885.0,0
9661,2024-01-01,Одежда,Москва,Постоянный,Мобильное приложение,Менеджер 1,1,8123.0,1022.0,5
9321,2024-01-02,Одежда,Москва,Новый,Маркетплейс,Менеджер 5,3,8928.0,641.0,15
6813,2024-01-02,Дом и сад,Казань,Новый,Сайт,Менеджер 1,1,2959.0,150.0,15
8042,2024-01-02,Одежда,Санкт-Петербург,Постоянный,Сайт,Менеджер 3,4,6067.0,0.0,0
7154,2024-01-02,Красота,Санкт-Петербург,Новый,Сайт,Менеджер 4,1,1081.0,1146.0,0
8097,2024-01-02,Электроника,Екатеринбург,Постоянный,Маркетплейс,Менеджер 7,3,13263.0,1293.0,20
7034,2024-01-02,Спорт,Москва,Постоянный,Сайт,Менеджер 1,1,5789.0,981.0,0
1829,2024-01-02,Спорт,Новосибирск,Постоянный,Сайт,Менеджер 3,2,5244.0,735.0,20
4770,2024-01-02,Игрушки,Екатеринбург,Постоянный,Мобильное приложение,Менеджер 4,1,1439.0,0.0,5
1293,2024-01-02,Дом и сад,Москва,Постоянный,Мобильное приложение,Менеджер 2,2,3770.0,164.0,0
8507,2024-01-02,Игрушки,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 2,4,3338.0,123.0,5
264,2024-01-02,Книги,Санкт-Петербург,Постоянный,Маркетплейс,Менеджер 3,1,526.0,1088.0,0
4260,2024-01-02,Одежда,Санкт-Петербург,Новый,Маркетплейс,Менеджер 1,2,2472.0,203.0,15
3340,2024-01-02,Красота,Санкт-Петербург,Новый,Маркетплейс,Менеджер 6,1,1116.0,0.0,5
4334,2024-01-02,Одежда,Москва,Постоянный,Маркетплейс,Менеджер 2,1,5219.0,710.0,0
3162,2024-01-02,Спорт,Москва,Постоянный,Сайт,Менеджер 2,1,23362.0,4483.0,0
5371,2024-01-02,Дом и сад,Москва,Новый,Маркетплейс,Менеджер 4,4,6526.0,1422.0,10
9460,2024-01-02,Электроника,Екатеринбург,Новый,Сайт,Менеджер 2,3,22174.0,1931.0,0
2179,2024-01-02,Электроника,Казань,Новый,Сайт,Менеджер 1,1,28262.0,2380.0,15
7857,2024-01-02,Спорт,Москва,VIP,Мобильное приложение,Менеджер 1,2,18976.0,2115.0,0
64,2024-01-02,Одежда,Санкт-Петербург,VIP,Сайт,Менеджер 2,1,5631.0,919.0,15
207,2024-01-02,Одежда,Екатеринбург,Новый,Маркетплейс,Менеджер 7,4,7020.0,383.0,15
8162,2024-01-02,Дом и сад,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 8,1,3764.0,315.0,15
2918,2024-01-02,Одежда,Новосибирск,Новый,Маркетплейс,Менеджер 3,1,5922.0,62.0,5
1954,2024-01-02,Электроника,Санкт-Петербург,Новый,Сайт,Менеджер 4,2,18298.0,2794.0,0
8154,2024-01-02,Электроника,Москва,Новый,Мобильное приложение,Менеджер 3,4,113890.0,6069.0,0
5168,2024-01-02,Электроника,Новосибирск,Постоянный,Сайт,Менеджер 7,2,83293.0,14219.0,0
1522,2024-01-03,Дом и сад,Москва,Постоянный,Сайт,Менеджер 6,1,7436.0,843.0,20
2130,2024-01-03,Одежда,Москва,Новый,Мобильное приложение,Менеджер 2,4,2673.0,102.0,20
8279,2024-01-03,Красота,Москва,Постоянный,Маркетплейс,Менеджер 1,1,2332.0,268.0,20
898,2024-01-03,Электроника,Москва,Постоянный,Мобильное приложение,Менеджер 6,1,33954.0,3441.0,0
4216,2024-01-03,Электроника,Новосибирск,Новый,Сайт,Менеджер 1,1,8591.0,895.0,0
6588,2024-01-03,Электроника,Москва,Новый,Сайт,Менеджер 3,1,70063.0,12968.0,5
6865,2024-01-03,Дом и сад,Екатеринбург,Новый,Мобильное приложение,Менеджер 1,4,10237.0,1329.0,0
4142,2024-01-03,Спорт,Казань,Постоянный,Сайт,Менеджер 6,3,3014.0,497.0,15
1582,2024-01-03,Дом и сад,Екатеринбург,VIP,Маркетплейс,Менеджер 4,2,8298.0,0.0,20
2738,2024-01-03,Одежда,Казань,Постоянный,Сайт,Менеджер 1,3,7395.0,1218.0,0
5540,2024-01-03,Спорт,Москва,Постоянный,Маркетплейс,Менеджер 2,1,12166.0,1478.0,10
7710,2024-01-03,Книги,Екатеринбург,Новый,Мобильное приложение,Менеджер 3,1,1117.0,0.0,20
1870,2024-01-03,Спорт,Санкт-Петербург,VIP,Маркетплейс,Менеджер 1,4,4220.0,452.0,5
9897,2024-01-03,Электроника,Екатеринбург,Новый,Мобильное приложение,Менеджер 1,2,14557.0,1296.0,0
2664,2024-01-03,Дом и сад,Новосибирск,Новый,Сайт,Менеджер 7,1,8766.0,0.0,20
4501,2024-01-03,Электроника,Москва,Новый,Сайт,Менеджер 2,3,27699.0,3690.0,5
7892,2024-01-03,Электроника,Санкт-Петербург,Постоянный,Сайт,Менеджер 7,3,11181.0,297.0,5
9824,2024-01-03,Продукты,Москва,VIP,Мобильное приложение,Менеджер 8,2,3027.0,0.0,20
8245,2024-01-03,Красота,Москва,Постоянный,Сайт,Менеджер 7,1,8487.0,818.0,0
2684,2024-01-03,Красота,Екатеринбург,Новый,Маркетплейс,Менеджер 4,1,3684.0,459.0,20
4858,2024-01-03,Красота,Санкт-Петербург,Новый,Сайт,Менеджер 1,2,3843.0,508.0,10
2327,2024-01-03,Красота,Новосибирск,Новый,Сайт,Менеджер 5,1,2223.0,1163.0,5
4699,2024-01-03,Дом и сад,Москва,Новый,Мобильное приложение,Менеджер 8,1,6142.0,687.0,0
3941,2024-01-03,Спорт,Казань,Постоянный,Мобильное приложение,Менеджер 8,2,4185.0,508.0,0
3780,2024-01-03,Дом и сад,Казань,Новый,Сайт,Менеджер 1,3,13145.0,2318.0,10
5027,2024-01-04,Дом и сад,Санкт-Петербург,Новый,Сайт,Менеджер 6,2,12121.0,725.0,15
8576,2024-01-04,Спорт,Новосибирск,Новый,Мобильное приложение,Менеджер 5,1,3084.0,30.0,15
1728,2024-01-04,Дом и сад,Москва,Новый,Сайт,Менеджер 6,3,5819.0,837.0,0
5722,2024-01-04,Продукты,Москва,Постоянный,Мобильное приложение,Менеджер 2,2,1716.0,506.0,20
6409,2024-01-04,Красота,Казань,VIP,Мобильное приложение,Менеджер 2,1,9644.0,527.0,10
2735,2024-01-04,Электроника,Москва,Новый,Мобильное приложение,Менеджер 6,2,11097.0,1719.0,5
5512,2024-01-04,Книги,Екатеринбург,Новый,Сайт,Менеджер 2,1,1024.0,112.0,20
6044,2024-01-04,Красота,Санкт-Петербург,Постоянный,Мобильное приложение,Менеджер 3,1,2888.0,0.0,10
7737,2024-01-04,Дом и сад,Москва,Постоянный,Мобильное приложение,Менеджер 5,2,4385.0,262.0,5
9856,2024-01-04,Электроника,Екатеринбург,Новый,Маркетплейс,Менеджер 8,3,18607.0,1511.0,0
1490,2024-01-04,Электроника,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 3,1,41964.0,6450.0,0
7133,2024-01-04,Электроника,Москва,Новый,Мобильное приложение,Менеджер 6,4,26777.0,2752.0,15
1917,2024-01-04,Спорт,Екатеринбург,Новый,Мобильное приложение,Менеджер 2,1,3046.0,0.0,0
7661,2024-01-04,Красота,Екатеринбург,Новый,Мобильное приложение,Менеджер 7,1,1021.0,460.0,5
327,2024-01-04,Дом и сад,Москва,VIP,Мобильное приложение,Менеджер 3,2,11355.0,1831.0,15
1332,2024-01-04,Дом и сад,Казань,Новый,Мобильное приложение,Менеджер 4,2,5082.0,513.0,0
971,2024-01-04,Дом и сад,Новосибирск,Постоянный,Сайт,Менеджер 2,1,7278.0,872.0,0
4115,2024-01-04,Одежда,Москва,VIP,Сайт,Менеджер 4,4,5840.0,510.0,0
3877,2024-01-04,Одежда,Казань,Постоянный,Сайт,Менеджер 2,2,14697.0,2203.0,0
951,2024-01-04,Электроника,Санкт-Петербург,Новый,Маркетплейс,Менеджер 8,1,30693.0,4358.0,0
7723,2024-01-04,Одежда,Екатеринбург,Постоянный,Маркетплейс,Менеджер 1,4,4198.0,147.0,0
498,2024-01-04,Книги,Екатеринбург,Новый,Мобильное приложение,Менеджер 6,1,708.0,1510.0,20
3087,2024-01-04,Одежда,Москва,Новый,Мобильное приложение,Менеджер 1,2,5780.0,730.0,20
7388,2024-01-04,Дом и сад,Новосибирск,Новый,Мобильное приложение,Менеджер 5,3,5227.0,1006.0,5
9841,2024-01-04,Электроника,Екатеринбург,Постоянный,Сайт,Менеджер 4,3,10080.0,1267.0,0
4281,2024-01-05,Электроника,Санкт-Петербург,Новый,Сайт,Менеджер 8,1,26093.0,3035.0,20
4809,2024-01-05,Одежда,Москва,Постоянный,Маркетплейс,Менеджер 6,1,8213.0,652.0,20
7273,2024-01-05,Одежда,Санкт-Петербург,Постоянный,Сайт,Менеджер 8,3,2221.0,0.0,10
7543,2024-01-05,Электроника,Санкт-Петербург,VIP,Мобильное приложение,Менеджер 6,3,132203.0,21345.0,10
1047,2024-01-05,Электроника,Казань,Новый,Сайт,Менеджер 8,1,76466.0,9000.0,0
417,2024-01-05,Электроника,Москва,Постоянный,Сайт,Менеджер 1,2,23411.0,4743.0,20
615,2024-01-05,Книги,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 3,1,727.0,0.0,10
3487,2024-01-05,Одежда,Санкт-Петербург,VIP,Мобильное приложение,Менеджер 3,2,2894.0,165.0,0
7301,2024-01-05,Электроника,Москва,Новый,Маркетплейс,Менеджер 4,1,14517.0,1514.0,0
3504,2024-01-05,Дом и сад,Москва,Новый,Сайт,Менеджер 5,4,5908.0,1769.0,0
2336,2024-01-05,Игрушки,Москва,Новый,Мобильное приложение,Менеджер 3,3,2810.0,771.0,0
129,2024-01-05,Спорт,Екатеринбург,Постоянный,Маркетплейс,Менеджер 1,2,12925.0,1760.0,0
3918,2024-01-05,Дом и сад,Москва,Новый,Мобильное приложение,Менеджер 6,2,1750.0,0.0,10
2437,2024-01-05,Электроника,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 8,2,58761.0,11181.0,15
5299,2024-01-05,Электроника,Москва,Новый,Мобильное приложение,Менеджер 6,1,14451.0,2259.0,10
5358,2024-01-05,Продукты,Новосибирск,VIP,Маркетплейс,Менеджер 3,1,4739.0,425.0,0
2057,2024-01-05,Дом и сад,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 8,2,9479.0,1612.0,0
7792,2024-01-05,Спорт,Санкт-Петербург,VIP,Маркетплейс,Менеджер 3,4,18364.0,1290.0,0
2287,2024-01-05,Дом и сад,Москва,Постоянный,Мобильное приложение,Менеджер 5,4,10541.0,1985.0,0
5681,2024-01-05,Красота,Казань,Постоянный,Сайт,Менеджер 4,2,1405.0,0.0,20
2917,2024-01-05,Электроника,Новосибирск,Постоянный,Сайт,Менеджер 2,2,9044.0,767.0,15
5439,2024-01-05,Электроника,Екатеринбург,Новый,Маркетплейс,Менеджер 8,3,24975.0,2425.0,5
845,2024-01-05,Электроника,Москва,Постоянный,Сайт,Менеджер 7,1,53304.0,5651.0,0
722,2024-01-05,Спорт,Москва,Новый,Сайт,Менеджер 6,1,2640.0,0.0,10
1094,2024-01-05,Дом и сад,Санкт-Петербург,Постоянный,Сайт,Менеджер 6,1,4228.0,1322.0,15
1566,2024-01-05,Игрушки,Москва,VIP,Маркетплейс,Менеджер 4,4,4188.0,635.0,20
5245,2024-01-06,Дом и сад,Екатеринбург,Новый,Маркетплейс,Менеджер 8,1,25867.0,4562.0,0
5523,2024-01-06,Электроника,Москва,VIP,Сайт,Менеджер 1,4,61399.0,9018.0,15
8758,2024-01-06,Продукты,Казань,VIP,Мобильное приложение,Менеджер 1,1,3711.0,486.0,0
8909,2024-01-06,Игрушки,Москва,VIP,Мобильное приложение,Менеджер 6,4,1618.0,343.0,0
9113,2024-01-06,Дом и сад,Новосибирск,Новый,Сайт,Менеджер 3,1,6349.0,0.0,0
5432,2024-01-06,Спорт,Казань,Новый,Сайт,Менеджер 1,1,4921.0,0.0,5
5122,2024-01-06,Электроника,Екатеринбург,VIP,Маркетплейс,Менеджер 7,2,40054.0,3426.0,0
4319,2024-01-06,Книги,Екатеринбург,Новый,Сайт,Менеджер 4,4,1158.0,155.0,0
6171,2024-01-06,Продукты,Москва,Постоянный,Маркетплейс,Менеджер 3,2,1674.0,0.0,0
743,2024-01-06,Электроника,Москва,Постоянный,Мобильное приложение,Менеджер 5,3,22548.0,2637.0,10
4549,2024-01-06,Одежда,Екатеринбург,Новый,Маркетплейс,Менеджер 2,1,4730.0,0.0,0
967,2024-01-06,Электроника,Москва,Новый,Сайт,Менеджер 3,1,43194.0,3667.0,5
9325,2024-01-06,Спорт,Казань,Новый,Мобильное приложение,Менеджер 1,2,5021.0,1692.0,15
4675,2024-01-06,Книги,Новосибирск,Новый,Сайт,Менеджер 4,3,904.0,0.0,10
3942,2024-01-06,Книги,Москва,Постоянный,Сайт,Менеджер 8,1,2704.0,1213.0,0
8033,2024-01-06,Дом и сад,Екатеринбург,Новый,Маркетплейс,Менеджер 3,2,10906.0,722.0,5
937,2024-01-06,Электроника,Санкт-Петербург,Новый,Сайт,Менеджер 3,1,68110.0,13228.0,20
6877,2024-01-06,Продукты,Москва,Постоянный,Маркетплейс,Менеджер 6,1,1287.0,0.0,15
336,2024-01-06,Дом и сад,Екатеринбург,Постоянный,Маркетплейс,Менеджер 1,1,10255.0,408.0,0
5514,2024-01-06,Электроника,Москва,Постоянный,Сайт,Менеджер 6,3,10109.0,1566.0,20
6238,2024-01-06,Электроника,Москва,Новый,Сайт,Менеджер 5,3,32935.0,4342.0,15
6527,2024-01-06,Игрушки,Казань,Новый,Сайт,Менеджер 5,1,1197.0,0.0,5
8835,2024-01-07,Спорт,Санкт-Петербург,Постоянный,Мобильное приложение,Менеджер 8,3,16254.0,1152.0,5
6569,2024-01-07,Электроника,Москва,Постоянный,Сайт,Менеджер 3,4,20308.0,1543.0,20
1719,2024-01-07,Продукты,Казань,Новый,Маркетплейс,Менеджер 7,4,878.0,194.0,0
1281,2024-01-07,Спорт,Казань,Новый,Мобильное приложение,Менеджер 6,1,2994.0,0.0,15
5992,2024-01-07,Электроника,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 2,1,34902.0,6144.0,5
7720,2024-01-07,Электроника,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 1,1,28682.0,1540.0,0
8090,2024-01-07,Электроника,Москва,VIP,Сайт,Менеджер 7,2,28826.0,4476.0,20
7483,2024-01-07,Дом и сад,Екатеринбург,Новый,Сайт,Менеджер 6,1,7162.0,438.0,10
2473,2024-01-07,Одежда,Москва,Новый,Мобильное приложение,Менеджер 8,1,3575.0,0.0,0
8626,2024-01-07,Игрушки,Санкт-Петербург,Постоянный,Мобильное приложение,Менеджер 7,1,2938.0,351.0,10
607,2024-01-07,Спорт,Казань,Новый,Маркетплейс,Менеджер 5,1,7339.0,746.0,0
1865,2024-01-07,Дом и сад,Санкт-Петербург,Постоянный,Маркетплейс,Менеджер 5,2,12987.0,1934.0,0
7873,2024-01-07,Продукты,Екатеринбург,Новый,Сайт,Менеджер 4,4,601.0,177.0,0
2387,2024-01-07,Одежда,Екатеринбург,VIP,Маркетплейс,Менеджер 1,2,7047.0,601.0,0
6030,2024-01-07,Электроника,Санкт-Петербург,Постоянный,Сайт,Менеджер 8,2,83891.0,5788.0,10
6522,2024-01-07,Красота,Москва,Постоянный,Сайт,Менеджер 3,1,1348.0,107.0,10
6506,2024-01-07,Электроника,Казань,Новый,Мобильное приложение,Менеджер 4,1,41307.0,7781.0,10
8825,2024-01-07,Продукты,Санкт-Петербург,Новый,Маркетплейс,Менеджер 2,1,482.0,0.0,20
9551,2024-01-07,Книги,Санкт-Петербург,VIP,Сайт,Менеджер 4,2,3117.0,814.0,0
1655,2024-01-07,Электроника,Казань,Новый,Мобильное приложение,Менеджер 7,2,22012.0,1456.0,0
2870,2024-01-07,Игрушки,Казань,Новый,Сайт,Менеджер 5,1,2773.0,152.0,0
3389,2024-01-07,Электроника,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 5,3,33556.0,4164.0,15
4383,2024-01-07,Книги,Новосибирск,VIP,Сайт,Менеджер 8,1,2514.0,477.0,10
3847,2024-01-07,Дом и сад,Казань,Новый,Сайт,Менеджер 5,1,6311.0,1165.0,0
4958,2024-01-07,Электроника,Екатеринбург,Постоянный,Сайт,Менеджер 4,1,22975.0,3913.0,0
897,2024-01-07,Электроника,Казань,Постоянный,Мобильное приложение,Менеджер 7,1,46023.0,4850.0,0
4628,2024-01-07,Одежда,Москва,Новый,Мобильное приложение,Менеджер 3,1,4414.0,296.0,15
4264,2024-01-07,Одежда,Москва,Новый,Маркетплейс,Менеджер 8,1,5514.0,880.0,0
1466,2024-01-07,Продукты,Казань,Новый,Маркетплейс,Менеджер 3,2,1455.0,1314.0,0
9020,2024-01-07,Одежда,Москва,Постоянный,Мобильное приложение,Менеджер 3,1,7883.0,16.0,0
3191,2024-01-08,Электроника,Екатеринбург,Постоянный,Маркетплейс,Менеджер 3,4,75680.0,6108.0,0
1769,2024-01-08,Дом и сад,Екатеринбург,Новый,Мобильное приложение,Менеджер 2,1,2871.0,1047.0,0
9144,2024-01-08,Книги,Санкт-Петербург,VIP,Сайт,Менеджер 4,1,1367.0,155.0,15
8942,2024-01-08,Дом и сад,Новосибирск,VIP,Сайт,Менеджер 3,1,6526.0,0.0,10
9953,2024-01-08,Дом и сад,Санкт-Петербург,Постоянный,Мобильное приложение,Менеджер 3,3,8861.0,1428.0,0
8224,2024-01-08,Продукты,Екатеринбург,Постоянный,Мобильное приложение,Менеджер 1,2,1704.0,372.0,0
4948,2024-01-08,Книги,Новосибирск,Постоянный,Маркетплейс,Менеджер 1,3,1312.0,498.0,10
3485,2024-01-08,Электроника,Санкт-Петербург,Постоянный,Мобильное приложение,Менеджер 4,2,57951.0,6246.0,10
6178,2024-01-08,Книги,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 2,1,951.0,392.0,0
878,2024-01-08,Дом и сад,Москва,Новый,Сайт,Менеджер 5,2,1728.0,232.0,0
9345,2024-01-08,Одежда,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 3,3,4871.0,98.0,20
6437,2024-01-08,Электроника,Казань,Постоянный,Маркетплейс,Менеджер 6,1,20587.0,2806.0,5
831,2024-01-08,Дом и сад,Санкт-Петербург,Новый,Сайт,Менеджер 4,2,9126.0,801.0,10
4755,2024-01-08,Электроника,Казань,Новый,Сайт,Менеджер 8,4,108469.0,15202.0,0
6053,2024-01-08,Спорт,Москва,Новый,Мобильное приложение,Менеджер 3,1,7113.0,400.0,20
9621,2024-01-08,Электроника,Москва,Новый,Мобильное приложение,Менеджер 2,1,33804.0,3457.0,15
1254,2024-01-08,Одежда,Москва,Новый,Маркетплейс,Менеджер 1,2,8285.0,1213.0,5
2998,2024-01-08,Дом и сад,Москва,Новый,Сайт,Менеджер 7,1,8285.0,895.0,10
7164,2024-01-08,Электроника,Москва,Новый,Мобильное приложение,Менеджер 3,2,24039.0,1441.0,0
7155,2024-01-08,Электроника,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 5,4,15121.0,3537.0,0
3298,2024-01-08,Спорт,Санкт-Петербург,Новый,Сайт,Менеджер 8,1,3654.0,385.0,0
5909,2024-01-08,Одежда,Санкт-Петербург,Постоянный,Сайт,Менеджер 7,2,4395.0,517.0,0
9683,2024-01-08,Электроника,Санкт-Петербург,Новый,Сайт,Менеджер 8,3,7245.0,0.0,15
3944,2024-01-08,Одежда,Новосибирск,VIP,Сайт,Менеджер 4,2,2768.0,825.0,10
1947,2024-01-08,Электроника,Москва,VIP,Сайт,Менеджер 1,3,86212.0,14961.0,0
2572,2024-01-08,Одежда,Екатеринбург,Новый,Мобильное приложение,Менеджер 3,1,8439.0,663.0,20
5622,2024-01-08,Дом и сад,Москва,Постоянный,Мобильное приложение,Менеджер 2,2,8675.0,1064.0,0
2050,2024-01-08,Одежда,Москва,Новый,Маркетплейс,Менеджер 1,2,1946.0,0.0,15
5407,2024-01-08,Дом и сад,Москва,VIP,Сайт,Менеджер 4,4,14731.0,2354.0,5
2975,2024-01-08,Одежда,Новосибирск,Постоянный,Мобильное приложение,Менеджер 8,1,8894.0,324.0,15
3988,2024-01-08,Электроника,Москва,Постоянный,Маркетплейс,Менеджер 8,3,18244.0,3972.0,5
689,2024-01-08,Электроника,Казань,Постоянный,Мобильное приложение,Менеджер 6,1,16945.0,2190.0,20
2549,2024-01-08,Одежда,Казань,Новый,Маркетплейс,Менеджер 3,3,6726.0,1056.0,0
3991,2024-01-08,Игрушки,Москва,Новый,Мобильное приложение,Менеджер 4,4,1738.0,0.0,0
9718,2024-01-08,Игрушки,Екатеринбург,Постоянный,Сайт,Менеджер 8,1,2883.0,445.0,0
1849,2024-01-09,Спорт,Москва,Постоянный,Маркетплейс,Менеджер 2,1,6045.0,649.0,5
6442,2024-01-09,Продукты,Москва,Новый,Маркетплейс,Менеджер 8,1,2014.0,514.0,0
7396,2024-01-09,Книги,Новосибирск,Новый,Маркетплейс,Менеджер 4,3,217.0,395.0,0
6412,2024-01-09,Одежда,Москва,Постоянный,Мобильное приложение,Менеджер 4,1,6782.0,265.0,20
98,2024-01-09,Дом и сад,Екатеринбург,VIP,Сайт,Менеджер 5,1,13914.0,2015.0,0
1323,2024-01-09,Красота,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 3,1,2146.0,1141.0,0
7349,2024-01-09,Дом и сад,Москва,Новый,Маркетплейс,Менеджер 8,3,3014.0,0.0,0
9605,2024-01-09,Красота,Москва,VIP,Маркетплейс,Менеджер 1,1,3645.0,395.0,20
7104,2024-01-09,Спорт,Москва,Новый,Мобильное приложение,Менеджер 5,1,9288.0,1187.0,0
6740,2024-01-09,Одежда,Москва,VIP,Маркетплейс,Менеджер 6,3,3861.0,315.0,10
270,2024-01-09,Книги,Екатеринбург,Новый,Маркетплейс,Менеджер 4,1,775.0,295.0,20
2209,2024-01-09,Продукты,Москва,Новый,Сайт,Менеджер 5,3,4983.0,499.0,20
1788,2024-01-09,Спорт,Москва,VIP,Мобильное приложение,Менеджер 3,1,5926.0,2038.0,0
8188,2024-01-09,Дом и сад,Санкт-Петербург,Новый,Маркетплейс,Менеджер 4,1,7270.0,1028.0,0
1572,2024-01-09,Дом и сад,Новосибирск,Постоянный,Сайт,Менеджер 2,1,4634.0,0.0,10
8392,2024-01-09,Одежда,Санкт-Петербург,Постоянный,Сайт,Менеджер 3,1,5957.0,1398.0,10
4177,2024-01-09,Спорт,Санкт-Петербург,Постоянный,Маркетплейс,Менеджер 6,1,11023.0,1150.0,10
1602,2024-01-09,Электроника,Санкт-Петербург,Новый,Маркетплейс,Менеджер 3,1,23615.0,1493.0,0
8964,2024-01-09,Спорт,Санкт-Петербург,Постоянный,Сайт,Менеджер 7,1,2449.0,0.0,10
9829,2024-01-09,Спорт,Москва,Постоянный,Мобильное приложение,Менеджер 4,1,5064.0,832.0,0
603,2024-01-09,Дом и сад,Москва,Новый,Мобильное приложение,Менеджер 2,1,6998.0,1113.0,15
6190,2024-01-09,Спорт,Москва,Постоянный,Сайт,Менеджер 6,4,5996.0,531.0,0
5677,2024-01-09,Красота,Новосибирск,Постоянный,Сайт,Менеджер 6,3,1963.0,69.0,15
8746,2024-01-09,Книги,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 7,1,583.0,619.0,5
8853,2024-01-09,Одежда,Казань,Постоянный,Сайт,Менеджер 6,2,3938.0,130.0,10
9999,2024-01-09,Продукты,Санкт-Петербург,Новый,Маркетплейс,Менеджер 4,4,1557.0,456.0,0
7161,2024-01-10,Книги,Новосибирск,Новый,Мобильное приложение,Менеджер 1,4,893.0,396.0,10
9637,2024-01-10,Продукты,Казань,VIP,Мобильное приложение,Менеджер 5,1,3286.0,0.0,10
7928,2024-01-10,Электроника,Санкт-Петербург,Постоянный,Мобильное приложение,Менеджер 4,2,27539.0,2841.0,20
1093,2024-01-10,Красота,Москва,Новый,Сайт,Менеджер 6,2,1770.0,845.0,15
4026,2024-01-10,Продукты,Казань,VIP,Маркетплейс,Менеджер 6,1,2632.0,0.0,10
6814,2024-01-10,Одежда,Санкт-Петербург,Новый,Мобильное приложение,Менеджер 6,2,4593.0,617.0,0
7495,2024-01-10,Красота,Екатеринбург,Постоянный,Мобильное приложение,Менеджер 5,1,5147.0,110.0,0
2211,2024-01-10,Игрушки,Санкт-Петербург,Постоянный,Мобильное приложение,Менеджер 7,1,1757.0,531.0,10
2608,2024-01-10,Одежда,Москва,Постоянный,Маркетплейс,Менеджер 3,3,4201.0,1178.0,10
